State_Name,Year,Position,Candidate,Sex,Party,Candidate_Type,Constituency_Name,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Bihar,2009,1,NIKHIL KUMAR CHOUDHARY,M,BJP,GEN,KATIHAR,GEN,16,56.95,37.23,BJP
Bihar,2009,1,UDAY SINGH ALIAS PAPPU SINGH,M,BJP,GEN,PURNIA,GEN,20,53.99,51.5,BJP
Bihar,2009,1,SHARAD YADAV,M,JD(U),GEN,MADHEPURA,GEN,17,50.15,48.99,JD(U)
Bihar,2009,1,KIRTI AZAD,M,BJP,GEN,DARBHANGA,GEN,14,41.75,43.85,BJP
Bihar,2009,1,CAPTAIN  JAI NARAYAN PRASAD NISHAD,M,JD(U),GEN,MUZAFFARPUR,GEN,24,46.41,31.37,JD(U)
Bihar,2009,1,RAGHUVANSH PRASAD SINGH,M,RJD,GEN,VAISHALI,GEN,12,48.86,45.53,RJD
Bihar,2009,1,PURNMASI RAM,M,JD(U),SC,GOPALGANJ,SC,16,37.4,39.64,
Bihar,2009,1,OM PRAKASH YADAV,M,IND,GEN,SIWAN,GEN,15,50.05,36.8,JD(U)
Bihar,2009,1,UMA SHANAKER SINGH,M,RJD,GEN,MAHARAJGANJ,GEN,13,45.69,35.3,
Bihar,2009,1,LALU PRASAD,M,RJD,GEN,SARAN,GEN,12,45.79,47.21,RJD
Bihar,2009,1,RAM SUNDAR DAS,M,JD(U),SC,HAJIPUR,SC,11,41.83,44.44,SJP(R)
Bihar,2009,1,ASWAMEDH DEVI,F,JD(U),GEN,UJIARPUR,GEN,22,45.89,31.92,
Bihar,2009,1,MAHESHWAR HAZARI,M,JD(U),SC,SAMASTIPUR,SC,11,44.54,44.37,
Bihar,2009,1,DR. MONAZIR HASSAN,M,JD(U),GEN,BEGUSARAI,GEN,19,48.75,28.64,JD(U)
Bihar,2009,1,DINESH CHANDRA YADAV,M,JD(U),GEN,KHAGARIA,GEN,18,46.54,42.72,JD(U)
Bihar,2009,1,SYED SHAHNAWAZ HUSSAIN,M,BJP,GEN,BHAGALPUR,GEN,21,43.89,36.3,BJP
Bihar,2009,1,DIGVIJAY SINGH,M,IND,GEN,BANKA,GEN,16,48.74,28.48,
Bihar,2009,1,RAJIV RANJAN SINGH ALIAS LALAN SINGH,M,JD(U),GEN,MUNGER,GEN,20,41.61,57.5,JD(U)
Bihar,2009,1,KAUSHALENDRA KUMAR,M,JD(U),GEN,NALANDA,GEN,25,33.05,52.65,
Bihar,2009,1,SHATRUGHAN SINHA,M,BJP,GEN,PATNA SAHIB,GEN,16,33.64,57.3,
Bihar,2009,1,RANJAN PRASAD YADAV,M,JD(U),GEN,PATALIPUTRA,GEN,16,41.17,42.86,SPVD
Bihar,2009,1,MEENA SINGH,F,JD(U),GEN,ARRAH,GEN,16,35.78,38.24,
Bihar,2009,1,JAGADA NAND SINGH,M,RJD,GEN,BUXAR,GEN,22,46.51,21.27,
Bihar,2009,1,MEIRA KUMAR,F,INC,SC,SASARAM,SC,16,42.7,32.09,INC
Bihar,2009,1,MAHABALI SINGH,M,JD(U),GEN,KARAKAT,GEN,16,41.61,34.13,
Bihar,2009,1,JAGDISH SHARMA,M,JD(U),GEN,JAHANABAD,GEN,25,46.93,39.18,
Bihar,2009,1,SUSHIL KUMAR SINGH,M,JD(U),GEN,AURANGABAD,GEN,16,43.47,43.48,JD(U)
Bihar,2009,1,HARI MANJHI,M,BJP,SC,GAYA,SC,16,42.45,43.65,
Bihar,2009,1,BHOLA SINGH,M,BJP,GEN,NAWADA,GEN,21,41.62,22.46,
Bihar,2009,1,BHUDEO CHOUDHARY,M,JD(U),SC,JAMUI,SC,19,38.13,33.36,
Chandigarh,2009,1,PAWAN KUMAR BANSAL,M,INC,GEN,CHANDIGARH,GEN,14,65.51,46.87,INC
Chhattisgarh,2009,1,MURARILAL SINGH,M,BJP,ST,SARGUJA,ST,16,61.62,51.73,
Chhattisgarh,2009,1,VISHNU DEO SAI,M,BJP,ST,RAIGARH,ST,10,65.31,47.44,BJP
Chhattisgarh,2009,1,SHRIMATI KAMLA DEVI PATLE,F,BJP,SC,JANJGIR-CHAMPA,SC,12,48.57,40.96,
Chhattisgarh,2009,1,CHARAN DAS MAHANT,M,INC,GEN,KORBA,GEN,18,58.41,42.2,INC
Chhattisgarh,2009,1,DILIP SINGH JUDEV,M,BJP,GEN,BILASPUR,GEN,28,52.28,45.18,BJP
Chhattisgarh,2009,1,MADHUSUDAN YADAV,M,BJP,GEN,RAJNANDGAON,GEN,14,58.86,52.7,
Chhattisgarh,2009,1,SAROJ PANDEY,F,BJP,GEN,DURG,GEN,15,55.88,31.27,
Chhattisgarh,2009,1,RAMESH BAIS,M,BJP,GEN,RAIPUR,GEN,32,46.99,49.19,BJP
Chhattisgarh,2009,1,CHANDULAL SAHU (CHANDU BHAIYA),M,BJP,GEN,MAHASAMUND,GEN,15,56.69,47.82,
Chhattisgarh,2009,1,BALIRAM KASHYAP,M,BJP,ST,BASTAR,ST,7,47.33,44.16,BJP
Chhattisgarh,2009,1,SOHAN POTAI,M,BJP,ST,KANKER,ST,11,57.2,45.99,BJP
Dadra_&_Nagar_Haveli,2009,1,PATEL NATUBHAI GOMANBHAI,M,BJP,ST,DADAR & NAGAR HAVELI,ST,5,73.23,46.43,
Daman_&_Diu,2009,1,LALUBHAI PATEL,M,BJP,GEN,DAMAN & DIU,GEN,7,71.32,65.49,
Delhi,2009,1,KAPIL SIBAL,M,INC,GEN,CHANDNI CHOWK,GEN,41,55.21,59.67,INC
Delhi,2009,1,JAI PRAKASH AGARWAL,M,INC,GEN,NORTH EAST DELHI,GEN,16,52.35,59.03,INC
Delhi,2009,1,SANDEEP DIKSHIT,M,INC,GEN,EAST DELHI,GEN,17,53.43,60.41,INC
Delhi,2009,1,AJAY MAKAN,M,INC,GEN,NEW DELHI,GEN,40,55.71,59.59,INC
Delhi,2009,1,KRISHNA TIRATH,F,INC,SC,NORTH WEST  DELHI,SC,16,47.69,56.84,INC
Delhi,2009,1,MAHABAL MISHRA,M,INC,GEN,WEST  DELHI,GEN,15,52.34,54.32,
Delhi,2009,1,RAMESH KUMAR,M,INC,GEN,SOUTH DELHI,GEN,15,47.41,49.27,
Goa,2009,1,SHRIPAD YESSO NAIK,M,BJP,GEN,NORTH GOA,GEN,7,60.02,47.12,BJP
Goa,2009,1,COSME FRANCISCO CAITANO SARDINHA,M,INC,GEN,SOUTH GOA,GEN,11,50.95,46.88,INC
Gujarat,2009,1,JAT POONAMBEN VELJIBHAI,F,BJP,SC,KACHCHH,SC,17,42.55,50.58,
Gujarat,2009,1,GADHVI MUKESHKUMAR BHEIRAVDANJI,M,INC,GEN,BANASKANTHA,GEN,15,49.83,44.78,
Gujarat,2009,1,JAGDISH THAKOR,M,INC,GEN,PATAN,GEN,16,44.67,44.82,
Gujarat,2009,1,PATEL JAYSHREEBEN KANUBHAI,F,BJP,GEN,MAHESANA,GEN,12,49.69,48.31,
Gujarat,2009,1,CHAUHAN MAHENDRASINH,M,BJP,GEN,SABARKANTHA,GEN,12,49.41,47.02,
Gujarat,2009,1,L.K.ADVANI,M,BJP,GEN,GANDHINAGAR,GEN,19,50.83,54.89,BJP
Gujarat,2009,1,HARIN PATHAK,M,BJP,GEN,AHMEDABAD EAST,GEN,18,42.32,53.37,BJP
Gujarat,2009,1,DR. SOLANKI KIRITBHAI PREMAJIBHAI,M,BJP,SC,AHMEDABAD WEST,SC,16,48.22,54.61,
